nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
Chile,19493184,756102,América
Uruguay,3426260,176215,América
México,126705138,1964375,América
Estados Unidos,331893745,9833517,América
Canadá,38005238,9984670,América
Alemania,83149300,357022,Europa
Francia,67749632,551695,Europa
España,47415750,505990,Europa
Italia,59109668,301340,Europa
Reino Unido,67326569,243610,Europa
China,1412360000,9596961,Asia
Japón,125800000,377975,Asia
India,1380004385,3287263,Asia
Corea del Sur,51780579,100210,Asia
Australia,25687041,7692024,Oceania
Nueva Zelanda,5122600,268838,Oceania
Egipto,102334404,1002450,África
Sudáfrica,59308690,1221037,África
